id,text
11,上水彩園邨一單位昨晨發生虐兒引致家暴的案件。一名躁父疑6歲兒子不聽教導，盛怒下出手推撞，其妻護兒心切，與夫爭執後拳來腳往，妻不敵一度持刀相向，報案表示：「我就快俾老公打死！」，及後警員馳至後將一家三口送院，夫婦一同被捕。被捕男戶主歐陽X祺（42歲），腰及頸部受傷，涉嫌虐兒及襲擊；其妻吳X梨（34歲）手、腳及頸部受傷，涉嫌傷人，由於兩人的兒子頭及手部亦受傷，一同送入北區醫院治理。父推撞子 母護兒揮刀事發在彩園邨彩華樓某樓一單位，昨晨7時許男戶主疑因兒子不聽教動怒，情緒失控動粗，其妻護子心切上前阻止，豈料一言不合，你推我撞，其妻不敵，一度衝入廚房取出菜刀揮舞。及後，警員接報到場，男子腰部有刀傷，而母子身上亦有明顯傷痕，一同被送院。警方經調查後將夫婦倆拘捕，案件交由大埔警區刑事調查隊第3隊跟進。有社工建議，當家長管教子女遇到困難時，應主動向社工或專業人士求助，否則會削弱管教效果，影響親子關係，嚴重者會令個人情緒健康受損，及可能引發家庭暴力如虐待兒童等。
12,一男子疑因感情問題，與前妻在粉嶺寓所爭執，遭人襲擊受傷及掟爛手機，其十九歲女兒與母同一陣綫，涉揮刀指嚇父親，母女同被警方拘捕，傷者送院；另一對夫妻，在上水家中為賴牀兒子吵架動粗，有人遷怒稚子涉虐兒，一家三口送院，其中夫妻被捕。疑遭前妻打傷男子姓楊（六十四歲），被捕母女分別是其前妻姓黃（五十一歲）和女兒（十九歲）。楊居住粉嶺大窩東支路橋頭村一村屋，消息稱，楊與妻離異，女兒跟母親。前晚十一時許，楊與前妻為感情問題爭執，有人打傷他的面部，及將其手機擲爛，楊企圖反擊，其女兒站在母親陣綫，有人取來菜刀指嚇楊，「一家三口」劍拔弩張，有人報警。警方趕至調查，拘捕涉案母女帶署助查，楊送院治理後無大礙。教子釀家暴 夫婦被捕另外，上水彩園邨彩華樓一單位，昨晨七時許，亦發生「家暴」虐兒案，女戶主姓吳（三十四歲），擬叫兒子（六歲）起牀上學，但兒子賴牀，叫喊聲吵醒男戶主姓歐陽（四十二歲），夫婦為此爭執，有人用生果刀斬傷歐陽頸部。有人負傷反擊，及遷怒兒子，涉打妻子和將兒子推倒地上受傷。警方接報到場，將事主一家三口送院治療，經調查後，分別以涉嫌傷人、襲擊及虐兒罪名，拘捕事主夫婦助查。
13,"家暴導致夫妻離異常見，結髮情可斷，血濃於水的親子關係，卻難割捨。就算是施虐者，亦有探視及照顧子女的權利，為平衡夫妻及子女的三方關係，保良局設有子女探視服務，經社工陪同，父母可在安全舒適的會面室與子女相聚，重建親子關係。曾經使用子女探視服務的一名母親表示，自己與丈夫離異後，每日仍擔心他因見不到女兒，對她增添怨恨。同時又會為女兒見不到父親而內疚，無形中增加了不少壓力；加上年幼的女兒僅7歲，對父母的婚姻狀況不甚了解，作為母親亦難以詳細解釋，對女兒為何見不到父親等連串疑問，無法解決。保良局作為橋樑，她經社工轉介使用子女探視服務後，女兒可以在保良局中心的會面，與父親談天說地玩遊戲，寓溝通於娛樂，既可緩和與前夫間的怨懟，也紓緩了自己的心理壓力，女兒亦能與父親共度歡樂時光。
另一名父親本是施虐者，最初跟女兒分開時，感到非常無助，不時擔心女兒的生活與近況。雖然探視服務有不能打探前妻近況等限制，但能重獲與女兒相處的機會，重建親子關係，已很滿足。服務還有學習小組支援，分享探視者與子女的相處方法，並讓施虐者認識家暴對配偶所帶來的傷害等問題，自省反思。保良局服務發展主任鄭德華表示，家暴受害者多會害怕與施虐者見面，亦抗拒安排子女探視對方，以防子女被搶走。對方卻認為跟子女的相處時間，無故遭剝削，日積月累只會令衝突加深，情況嚴重者可能會電話騷擾或到學校埋伏，乘機強搶子女，透過適當的親子會面，才是妥善解決之法。"
14,秀茂坪順天邨天權樓一單位一對夫婦，早上8時49分疑因瑣事爭執反目互毆，拳來腳往，期間有人出刀，驚動警員上門調查，結果兩敗俱傷兼惹官非，分涉傷人及普通襲擊。案中妻子36歲姓李，額頭受傷，由於一度出刀，涉嫌傷人；其夫40歲姓黃，右肩受傷，涉嫌普通襲擊，同清醒送聯合醫院治理。案件交由秀茂坪警區刑事調查第8隊跟進。
15,兩對夫婦在浪漫情人節爆發血腥衝突，禍及子女受傷。秀茂坪邨一名中年漢不滿年輕妻子夜歸，未有陪伴共度浪漫佳節，昨凌晨與妻子爭吵時，「爆樽」誤傷勸交的十八歲女兒，另於荔枝角一個豪宅，一名婦人懷疑丈夫有外遇，揚言要「斬死」丈夫，十九歲兒子勸止時，亦被玻璃碎片傷，婦人涉嫌刑事恐嚇被警方拘捕。首案發生於秀茂坪邨秀和樓一單位，男戶主姓陳（五十歲），其妻姓張，較丈夫年輕十一年，育有一名女兒。前日情人節，陳在家等候妻子回家，準備共度浪漫佳節，豈料妻子遲遲未歸。至昨晨一時許，張婦始返抵家門，陳按捺不住，浪漫情緒化成怒火，向她大興問罪，她不滿丈夫小題大做，出言還擊，雙方激烈爭吵，期間有人情緒激動，打爛玻璃樽發洩，陳更揚言要跳樓，女兒聞言上前勸阻，混亂間，意外踩着地上的玻璃碎片，左腳被傷。警員及消防員接報到場，向陳好言相勸，其情緒始冷靜下來，為免再與妻起爭執，親自陪伴女兒到醫院接受治療。
16,九龍及新界由前晚至昨晨，發生三宗夫妻家暴事件，其中在何文田邨，一對夫婦為感情問題爭執，丈夫涉嫌揮刀趕走妻子，反鎖屋內自困，警方勸喻他放下利刀，入屋將其拘捕帶署；
17,另一名姓梁男子（五十三歲），前晚十時許，在天水圍天頌苑頌澤閣住所，疑因家庭問題，與姓廖妻子（四十六歲）發生爭執，有人情緒失控，取出利刀揮舞，混亂中，女事主報稱被人用刀斬傷右手手背，警方接報到場，拘捕涉案的傷者丈丈帶署調查，傷者送院治理後無大礙。此外，一名姓廖男子（五十五歲），與姓林妻子（三十九歲）前晚九時許，在天水圍天悅邨悅泰樓住所內，疑因使用熱水爐問題爭執，有人持刀恐嚇妻子，警方接報到場，拘捕涉案的廖帶署助查。記者 蔡楚輝
18,另兩對夫妻在天水圍家中爭吵，其中一女子被斬傷，兩名躁夫被捕。何文田邨采文樓一單位，姓范男戶主（三十歲），與姓林妻子（二十六歲），昨晨零時許，疑因感情問題爭執，范情緒激動，有人取來生果刀向妻子揮舞，將妻子趕出屋外，再反鎖大門自困，林女報警。警方趕至調查，由全副「鐵甲威龍」裝備警員，拍門勸喻屋內男子放下利刀及開門，警員一擁而入，以涉嫌藏有攻擊性武器罪名將其拘捕帶署助查。
19,昨晨8時許，35歲姓陳婦人與34歲姓張丈夫在青衣長安邨安泊樓住所，疑為金錢及感情問題嘈交，夫婦大動肝火互相推撞，糾纏間陳婦報稱被丈夫猛力捏住右手臂至紅腫受傷，繼而被丈夫趕出家門，於是報警。警員到場調查，張亦報稱胸口受傷，夫婦同涉襲擊傷人被捕。陳婦送院時以手輕拭眼角淚痕。
20,屯門友愛邨昨日凌晨發生家暴事件，一對老夫少妻，為家事問題爆發激烈爭吵，大打出手，結果兩敗俱傷同被警員拘捕。為家事爭執 大打出手昨日凌晨1時許，一名姓孫婦人（49歲），在屯門友愛邨愛明樓寓所，與她年齡相差31歲的姓嚴丈夫（78歲）因家事問題發生爭執，兩人一言不合大打出手，結果兩人面及手臂受傷，婦人聽聞丈夫出言恐嚇會傷害她，大驚報警求助。警員接報到場調查後，兩夫婦分別涉刑事恐嚇、襲擊及襲擊致造成實際身體傷害被捕，一併先獲送醫院治理，然後帶回警署助查。天水圍家暴 妻子送院另訊，昨凌晨1時許，一名姓李男子（38歲）與其姓黃妻子（31歲），在天水圍天恩邨恩頣樓寓所，因感情問題吵架，期間妻子遭人掌摑以及出言恐嚇，不滿丈夫行為報警。警員到場調查，丈夫因涉嫌普通襲擊被捕，妻子則獲送醫院治理，案件交由元朗警區刑事調查隊第10隊跟進調查。
21,"中港夫妻為錢反面,舞刀揮拳爆家暴!九十後內地嬌妻來港探夫,昨晨她在葵涌「夫家」,疑因金錢問題與丈夫「吵大鑊」,柔情隨即變臉,有人涉嫌擸刀揮舞。混亂中,其夫被人斬傷,她亦捱拳遭毆打,家人無法勸止報警求助,火爆夫妻需送院敷治,幸傷勢輕微,但兩人同涉嫌襲擊罪被捕。涉案少婦報稱被打傷送院。(曾紹良攝)現場大窩口邨富⺠樓一單位,涉案丈夫姓程(廿八歲),妻子姓鄒(廿二歲)。據悉,鄒婦為內地居⺠,婚後經常持雙程證來港,與丈夫團聚。鄰居指稱,鄒婦年輕樣子可人,夫婦恩愛非常,惟最近鄒婦每次來港後,屋內經常傳出爭執聲,懷疑感情有裂痕。昨晨十一時許,夫婦疑因金錢及家事問題爭執,愈吵愈激烈,火藥味甚濃。屋內家具翻倒血漬斑斑據悉,有人怒氣沖沖,取起十吋⻑利刀揮舞,程夫赤手空拳抵抗,惟閃避不及,混亂中,手、腹、背及嘴角多處受傷,而鄒婦亦被人揮拳毆打,有人大叫救命求救。據悉,程的繼兄當時在屋內,目睹火爆場面,恐怕釀成悲劇,勸止不果報警求助。大批警員接報趕至,發覺屋內家具翻倒一片凌亂,地板更血漬斑斑,立即將火爆夫婦分開查問,並召救護車到場,將被斬傷程夫送院救治,鄒婦亦因情緒激動,並報稱被打傷感頭痛,同需送院治療。警方初步調查後,程涉嫌「普通襲擊」被捕,其妻則涉嫌「襲擊致造成實際身體傷害」就逮。案件交由葵青警區刑事調查隊第八隊跟進。專家稱爭執須控制情緒香港家庭及事業發展服務訓練總監司徒漢明稱,夫妻相處定會有摩擦及矛盾首要是控制好自己的情緒,否則很容易發生家庭暴力事件。他又稱,夫妻要坦誠溝通以處理雙方的矛盾,溝通時亦要避免含有辱罵性的說話,如:「你賺咁少錢,都唔係男人!」更應避免翻舊帳。而吵架後要懂得補償,可以主動買一些小禮物給對方,給予對方下台階,雙方由此解開心結修補關係。"
22,"屯門澤豐花園昨晚深夜發生嚴重家暴案,一名女子昏迷送往屯門醫院搶救,其後證實不治。警方當場將其丈夫拘捕,押返警署作進一步調查。丈夫報案 承認曾襲妻子警方於昨晚深夜11時許接獲一名男子報案,指出其妻在澤豐花園一個單位內受傷。大批警員迅速趕到現場,發現屋內有一名女子頭部重傷流血,當場已無知覺,立即將她送院搶救。據悉,警方初步調查後,屋內男子承認曾跟妻子爭執,其間妻子受傷昏迷。警方當場將男子拘捕,押返警署作進一步調查。據悉,警方初步調查後,報案男子承認曾襲擊妻子,她頭部受重傷昏迷倒臥單位內。警方遂將男子拘捕,案件交由屯門重案組跟進。根據社會福利署在網上公布的家暴資料,本港於2016年1月至9月紀錄了2,471宗新呈報虐待配偶或同居情侶個案,屯門區佔了161(6.5%),在個案受傷總類方面,涉及身體虐待的個案多達1,971(79.8%),其次為精神虐待個案,共有302宗(12.2%)。受害人性別中,近84%都是女姓。至於施虐者與受害人的關係方面,有70%是夫婦關係,異性同居情侶則有424宗(17.2%)。另外,本港近年每年均發生逾3,000宗虐待配偶或同居情侶個案,如2015年全年則有3,382宗,2014年則有3,917宗,2013年則有3,836宗。"
