,video_url,comment_author,publish_time,comment_text,up_vote
15,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Annie chang,1个月前,"很棒
高情商
成熟 內斂的一對佳偶！",4
16,https://www.youtube.com/watch?v=mJ2k_0oTRiI,呂筠茜,2个月前,電梯直達18層地獄，開腸剖肚看看心腸有多黑，割舌頭吧！,8
17,https://www.youtube.com/watch?v=mJ2k_0oTRiI,張家樺,2个月前,真的是八卦，盡說些無中生有的事，造口業！,37
18,https://www.youtube.com/watch?v=mJ2k_0oTRiI,廖睿裕,2个月前,作者是在想什麼？想太多了！,8
19,https://www.youtube.com/watch?v=mJ2k_0oTRiI,謝宜玲,2个月前,無中生有,5
20,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Phyllia Huang,2个月前,"句末打上問號就不用負責?
就是有這些愛造謠生事的人才會亂象不斷",5
21,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Kim Jasmine,2个月前（修改过）,Reporters love to create all kinds  of rumours. ...'Are you waiting for your ' 'harvest' ?  One will reap what one sows one day'.,1
22,https://www.youtube.com/watch?v=mJ2k_0oTRiI,羅德荒亂,2个月前,我看這小編她爺爺奶奶也離婚,3
23,https://www.youtube.com/watch?v=mJ2k_0oTRiI,BB Rawho,2个月前,她是一個善良的女生呦~,11
24,https://www.youtube.com/watch?v=mJ2k_0oTRiI,許午言,2个月前,看標題就知道、瞎掰。,8
25,https://www.youtube.com/watch?v=mJ2k_0oTRiI,鄭kiki,1个月前,"到底是多見不得人好阿
老是報道一些有的沒的",3
26,https://www.youtube.com/watch?v=mJ2k_0oTRiI,东方绿,2个月前,撒谎吧！记者都不知道，她怎么知道？,10
27,https://www.youtube.com/watch?v=mJ2k_0oTRiI,龜仙人,2个月前,講三小！,6
28,https://www.youtube.com/watch?v=mJ2k_0oTRiI,An Lee,2个月前,把玩SM說成家暴！,3
29,https://www.youtube.com/watch?v=mJ2k_0oTRiI,張滿足,2个月前,亂報一通，林志玲夫妻剛拍完茶廣告。妳們真是亂報一通的啊里不達之亂源。,27
30,https://www.youtube.com/watch?v=mJ2k_0oTRiI,gin lu,2个月前,胡扯蛋，要結受被人告！,5
31,https://www.youtube.com/watch?v=mJ2k_0oTRiI,sandy rice,3周前,人家好的很,3
32,https://www.youtube.com/watch?v=mJ2k_0oTRiI,atelier- danny,2个月前,把林志玲咒得離婚了，她就會嫁給你了??!!! 愛性幻想的話，不如找套波多野結衣來看啦。,5
33,https://www.youtube.com/watch?v=mJ2k_0oTRiI,嫣然,2个月前,人家還回台過年好不好? 隨便亂報,4
34,https://www.youtube.com/watch?v=mJ2k_0oTRiI,井出俊哉,1个月前,不可能的⁉️誰説這様荒唐話‼️,3
35,https://www.youtube.com/watch?v=mJ2k_0oTRiI,妈阁庙司辰,2个月前,膝蓋上的淤青應該是昨晚運動完的痕跡，怎麼可能變成家暴的證據呢？up主有點常識好不好？,5
36,https://www.youtube.com/watch?v=mJ2k_0oTRiI,陳春穗,2周前,神勇人…棒棒,0
37,https://www.youtube.com/watch?v=mJ2k_0oTRiI,謝秀枝,3个月前,又在亂說,28
38,https://www.youtube.com/watch?v=mJ2k_0oTRiI,Manyu Zhang,2个月前,想賺錢所以亂說話,7
39,https://www.youtube.com/watch?v=mJ2k_0oTRiI,소룡하,1个月前,好。。。,1
0,https://www.youtube.com/watch?v=Kf8jwfUknKw,Ana nurflorida,5天前,We will always supports u Zhao liying ����love u forever Zhao liying ��������,20
1,https://www.youtube.com/watch?v=Kf8jwfUknKw,國仕無相,5天前,明蘭嫁錯郎��,36
2,https://www.youtube.com/watch?v=Kf8jwfUknKw,Mona Jia,4天前,渣男毁人不倦。女人才有孩子能过谁要离。颖宝加油。采访颖宝时她就讲过，男方出轨她不将就会离婚,49
3,https://www.youtube.com/watch?v=Kf8jwfUknKw,Janet Ooi,5天前,"2021 They are aready divorce,so everyone is happy.ZhaoYiling will be sad for a time,but the road is a very long way, time will tell.zhao Yiling u take care of yourself,we will aways support you forever ever.�������",27
4,https://www.youtube.com/watch?v=Kf8jwfUknKw,李倫倫,4天前,不管他們是什麼原因離婚！那也是他們的選擇。祝福他們個自安好,28
5,https://www.youtube.com/watch?v=Kf8jwfUknKw,Cindy Wu,4天前,一看到明兰和二叔离婚，就马上去搜小公爷，结果发现他疑似隐婚并且已有2娃！这一刻，心彻底碎了。,15
6,https://www.youtube.com/watch?v=Kf8jwfUknKw,沈宗祈,5天前,父母親都太忙了，小孩非常可憐在成長階段完全沒有父母愛親情的陪伴，再有錢也沒時間呵護小孩，夫妻各忙各的家庭哪能維持終究會破碎，夫妻都是演員感情很難維持。,21
7,https://www.youtube.com/watch?v=Kf8jwfUknKw,藍寶玉,5天前,穎宝，加油,47
8,https://www.youtube.com/watch?v=Kf8jwfUknKw,陳國梅,2天前,趙麗穎加油祝你早日找到最愛你的人,6
9,https://www.youtube.com/watch?v=Kf8jwfUknKw,Ruyue Ding,4天前,真的好气啊 前几天刚看完知否还觉得他俩太甜了 结果就离婚了？这男的也太扯了,9
10,https://www.youtube.com/watch?v=Kf8jwfUknKw,楊麗婭,4天前,麗穎加油!挺你,22
11,https://www.youtube.com/watch?v=Kf8jwfUknKw,Anma Lai,3天前,穎寶加油���,3
12,https://www.youtube.com/watch?v=Kf8jwfUknKw,mei kam,2天前,丽穎支持你加油����,2
13,https://www.youtube.com/watch?v=Kf8jwfUknKw,Ken Chow,4天前,丽穎以后找男朋友要睁大眼睛别找渣性男。反正馮二叔的感情那一段都过不了三年。离了反讓丽颖不敞氣。,9
14,https://www.youtube.com/watch?v=Kf8jwfUknKw,Juno Juliana,2天前,颖宝，加油，保重好，����,3
15,https://www.youtube.com/watch?v=Kf8jwfUknKw,龍ドラゴン,4天前,"婚姻,不是离婚就是失败,也不是没离婚就是成功.更不是非要拥有的东西.",34
16,https://www.youtube.com/watch?v=Kf8jwfUknKw,許舒米,3天前,以為自己嫁了年長白馬王子，為他生子停工近一年半犧牲不少會被寵成公主，但事實是遇到了不成熟的富二代拍戲回家見到老婆說拍戲痛苦抱頭痛哭（老婆自己在家帶孩子也辛苦呢），眼看不靠譜自己復工，老婆不在家他不顧孩子也去拍戲反倒不哭了還不時跟組聚餐樂逍遙兩相比較真是奇怪？當下有想到妻兒嗎？之前訪談說將減少工作支持老婆最愛的演戲，女藝人演藝生涯較短，伊能靜夫妻的協調也是誰賺的少誰帶孩子，況且兒女教育不同兒子小時由父親帶優於媽媽，媽媽先出去賺錢是適當的，小孩1.5-3歲最是可人也是最佳起智時期，此時都不願付出父愛了還指望未來，她也投他所好改變自己成溫柔婉約女人，婚前百般呵護產後嫌東嫌西，因為不幸的是他之前愛不到的不巧都在他婚後才恢復單身，如果心不在不要也罷放他去追求最愛，支持穎寶分手決定，女人生孩子懷胎九月+生產痛楚+恢復期多辛啊，建議她千萬別放棄兒子撫養權，但全交給長輩照顧易寵壞，請個男大學優秀工讀生來陪他玩遊戲補足缺父愛的那塊吧！,4
17,https://www.youtube.com/watch?v=Kf8jwfUknKw,J_uuust,4天前,"作为赵丽颖的男粉, 我一直盼着这一天�",13
18,https://www.youtube.com/watch?v=Kf8jwfUknKw,Winwin Chow,2天前,支持趙丽穎明智既決定，快刀斬渣男，希望早日揾到一個真心愛你的，加油！,1
19,https://www.youtube.com/watch?v=Kf8jwfUknKw,frank shum,4天前,"或許穎寶太專注事業，過於忙碌，除了休息時間不足，易影響健康，同時也缺乏時間讓自己身心得到沉澱，去好好的經營一段婚姻。
當然，一段婚姻失敗，許多時雙方都有一定的責任，惟有希望雙方離異後，能以孩子的福祉為依歸，讓孩子得到良好的照顧。",10
20,https://www.youtube.com/watch?v=Kf8jwfUknKw,莊麗平,4天前,好恐怖不要結婚 都是這個下場,4
21,https://www.youtube.com/watch?v=Kf8jwfUknKw,Somchit Berger,4天前,❤️Zhao Liying ❤️❤️❤️❤️❤️❤️,7
22,https://www.youtube.com/watch?v=Kf8jwfUknKw,Jennifer,4天前,他那敢打老婆？除非他今生不想在這圈生存. 離婚有他們的原因，但网民不要P 圖把各種不成立的原因發出來好嗎？,8
23,https://www.youtube.com/watch?v=Kf8jwfUknKw,Leonie Tran,3天前,我們永遠都不看下流 男人劇情 ，太太辛苦拼命，害了下一代孩子們失去父母愛，,4
24,https://www.youtube.com/watch?v=Kf8jwfUknKw,kueifei lin,3天前,趙麗穎與馮紹峰都是我最喜歡的演員，尊重他們的選擇，㊗️福他們與小孩，未來平安順利，永遠支持，加油�。,1
25,https://www.youtube.com/watch?v=Kf8jwfUknKw,frank shum,4天前,一段成功的婚姻，需要雙方一起去經營，看看圈內一些婚姻成功的伉儷，一般都不會讓自己長年累月拼得身心俱疲，總讓自己有充分的時間回氣和沉澱，可繼續前行，亦有時間去好好的照顧家人和經營婚姻。,12
26,https://www.youtube.com/watch?v=Kf8jwfUknKw,方馨,1天前,沒錯，不管他們是否離婚，那也是他們的事,1
27,https://www.youtube.com/watch?v=Kf8jwfUknKw,Fair for all Justice,4天前（修改过）,又被标题騙了，給你一個差評。騙子騙錢还癸两个視頻骗。,6
28,https://www.youtube.com/watch?v=Kf8jwfUknKw,陳韋蓁,5天前,相愛不易，相處難,29
29,https://www.youtube.com/watch?v=Kf8jwfUknKw,Mark Lin,3天前,不離婚才不正常，有什麼奇怪的。,3
30,https://www.youtube.com/watch?v=Kf8jwfUknKw,電動遊戲,1天前,家爆的男人不能要為什麼要生孩子身體會變不好,1
31,https://www.youtube.com/watch?v=Kf8jwfUknKw,李泽峰,5天前（修改过）,你的点评公正所以订阅,4
32,https://www.youtube.com/watch?v=Kf8jwfUknKw,Evy M,5天前,又是“爆料”,5
33,https://www.youtube.com/watch?v=Kf8jwfUknKw,luxiya sun,4天前,你们累不累，结与离都是个人的事，吃瓜的别嫌事大对吗？,4
34,https://www.youtube.com/watch?v=Kf8jwfUknKw,Yan Wang,18小时前,天秤座的人 性格里会犹豫会磨磨叽叽不够果断 会对异性玩儿暧昧 会是颜控VIP 但人性本善 讨厌争吵 拒绝武力 爱好和平 。。。婚姻三载 就此别过  各自安好,0
35,https://www.youtube.com/watch?v=Kf8jwfUknKw,张少,3天前,放心吧 他们马上会有人喜欢的,0
36,https://www.youtube.com/watch?v=Kf8jwfUknKw,I Never Win,4天前,Angela baby 还远吗,3
37,https://www.youtube.com/watch?v=Kf8jwfUknKw,潘盈滢,4天前,利用工作便利、职权来作不道德的事，中国是否要有什么措施来限制了？,3
38,https://www.youtube.com/watch?v=Kf8jwfUknKw,Hanks Leung,4天前,绿 你等吗？孩子给大佬,1
39,https://www.youtube.com/watch?v=Kf8jwfUknKw,Jessica Xu,3天前,不就是离个婚吗，前有古人，后有来者，在娱乐圈更是主流价值观,0
0,https://www.youtube.com/watch?v=x3jSB1NtIH8,黃如,11个月前,"那有這種老爸呢！動手打女兒
如果我是哥哥的話我會幫妹妹出氣。",10
1,https://www.youtube.com/watch?v=x3jSB1NtIH8,Chiang Shawn,11个月前,明明就打背他痛頭,14
2,https://www.youtube.com/watch?v=x3jSB1NtIH8,來辯不服,1年前,看到一個女孩背後的傷真的非常非常難過�心疼放心這個父親真是垃圾渣,3
3,https://www.youtube.com/watch?v=x3jSB1NtIH8,"抗議臺灣和新北法院,父親狂拳打腳踢重度身障者頭部數次有傷,有物證口證吻合竟放水不起訴,六年怨氣未消!",2年前,反家暴20年創意影片第一名_衊,11
4,https://www.youtube.com/watch?v=x3jSB1NtIH8,李美,8个月前,靠我又被打了     你以為我再開玩笑�你錯了我剛頭髮被抓去撞牆 臉被打了一拳 手機被摔了這是舊手機我剛狂被奏 我立刻去找我朋友一開始他問我怎麼了 我說沒事剛去打架 世時上我杯趕出家門了哈哈哈我瘋了我。。。活著還有什麼意義�,3
5,https://www.youtube.com/watch?v=x3jSB1NtIH8,King Young,3个月前,楠梓派出所是我們這裡的派出所,0
6,https://www.youtube.com/watch?v=x3jSB1NtIH8,凱文哥kevin zhou,3个月前,2:47為什麼那個男的付了錢要叫那女生脫衣服��,0
7,https://www.youtube.com/watch?v=x3jSB1NtIH8,周大寶,2个月前,她爸爸好機車,0
8,https://www.youtube.com/watch?v=x3jSB1NtIH8,鷹葉,11个月前,你住楠梓，我住燕巢,0
9,https://www.youtube.com/watch?v=x3jSB1NtIH8,linglung90171108,5个月前,好可憐,0
10,https://www.youtube.com/watch?v=x3jSB1NtIH8,何慶紋,1年前,兄弟你真可憐,1
11,https://www.youtube.com/watch?v=x3jSB1NtIH8,夜貓日常,1年前,你住楠梓喔，我住仁武,3
12,https://www.youtube.com/watch?v=x3jSB1NtIH8,United States Marine Corps,1年前,我幫你動ㄙ型,2
13,https://www.youtube.com/watch?v=x3jSB1NtIH8,周大寶,2个月前,這種爸爸有夠該死,0
14,https://www.youtube.com/watch?v=x3jSB1NtIH8,Rico Rico,5个月前,那是一個冬天，我九歲，身高不足1.3 。 去學校的途中，我的牙套掉進了小河。恐懼，無助。我不敢對我媽講，“怎麽辦，明天就要去看醫生”。 回到家，到第二天去醫院，一直處於恐懼。好在沒有被發現。在醫院，終究紙包不住火。我在醫院門口被我媽揍了一頓。後來她帶我坐車來到我掉牙套的河邊。 “跳下去給我撈！” 。 我驚呆了，苦苦哀求 “不要啊，媽媽，媽媽，媽媽.....” 。 後來我被推進水中。水過了我的腰，肯定很冷，圍觀的群眾越來越多。我在水中不斷哭泣，“媽媽，媽媽，媽媽......” ，不知過了多久，我被允許上岸。我一邊抽泣，一邊行走，後來她叫了車把我們拉回去。父親一臉茫然。再後來，他們從屋裏反鎖了門，扒光我的衣褲，我赤身裸體，被按在沙發上，用類似於塑料尺的東西輪流打。外婆在屋外使勁拍打著門（好像後來走了）。我不知道他們打了多久，後來我不能坐，不能拿筷子，傷痕累累。下午，父親用自行車帶我出去逛了很大一圈，告訴我以後不要撒謊了。那一年我9歲，是我第一次與父母相處整整一年。期待成了噩夢。那一年改變了我。從小到大，沒有一次鼓勵，有的只是他們的冷嘲熱諷。後來，我所有讀書的動力只有一個：走吧。大學畢業一年後，帶著冷嘲熱諷，帶著一句“我們不會給妳寄一分錢！” ，帶著一筆欠款，我來到了海外。飛機起飛，淚如雨下。如今已過而立之年，依舊噩夢伴隨，幾乎都是同樣的場景。,3
15,https://www.youtube.com/watch?v=x3jSB1NtIH8,林禹臻,1天前,創意在哪？連113或110都沒放進去?不然放個上網問網友怎麼辦劇情也算貼近生活,0
16,https://www.youtube.com/watch?v=x3jSB1NtIH8,林和,1个月前,如果我爸對我妹這樣我一定把我爸他打死,0
17,https://www.youtube.com/watch?v=x3jSB1NtIH8,褚襄烈 Stephen Chu,1年前,"找到正確的對象，比婚後一切努力更重要!否則邀請災禍入門!

女人戀愛時曉得她的對象是個甚麼樣的男人嗎？多數人在根本不真認識對方下，就上了床。
台灣平均25歲的年輕成年人中，約七成有性經驗，當年度初婚年齡中位數分別為男生32歲以及女生29.6歲，可見婚前性行為已經非常普遍。

女生發生第一次性行為高峰期分別出現在18歲（高中畢業升大學暑假）以及20歲（大三及大四期間）；相反地，男生發生第一次性行為的高峰約在19歲（大一或大二期間）。(奇怪，女人第一次多比男人早，她們和不是男人的有...關係?想不通。)

年輕成人（25歲）劈腿比例約為7%，但因缺乏相關研究，很難斷定此比例是高或低。於劈腿的個體中，男生約佔58%。根據此結果，我們可以初步認為劈腿是性別特殊的行為(男生比較容易劈腿或是女生比較不易劈腿)。

年輕成年人的性行為對象是否都是在交往中的男女朋友。有14%的人回答所有性行為對象並非都是男女朋友，而這其中又以男性居多(74%)。據此，有相當高的男性曾嘗試與非交往中對象發生性行為。

男生（平均2.1位性伴侶），女生（1.6位性伴侶）。

跟這個搞搞，跟那個搞搞，拖拉一陣子，結婚。看看九把刀，看看他的劈腿，看看她所娶的女人；看看黃子交跟小S先同居，..亂七八糟的。會不會有後遺症？

有的，婚前越界如同夫妻，而家暴比對陌生人還更多，殘忍。有過同居的，暴力更多。
整個來幾，都增加衝突。女人總在吃衝突的虧。怒氣比不過男人，拳頭骨頭肌肉都必輸，
在找到正確男人前，妳必須是個正確的人-知所對錯!尺不正，焉能定是非？
女人張腿的程度，決定你婚後幸福與否!
http://www.typ.sinica.edu.tw/....../%E5%8F%B0%E7%81%A3......",4
0,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,SF Wong,1年前（修改过）,我前男友中了4樣。佢是在人前紳士。背後為小事都會動手。幸好我分手分得快。,25
1,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,C Cc,9个月前,我爸就是這種人他是一家小公司經營者， 我從小看我媽被家暴，但我媽也會家暴我，一下把我當情緒發洩站，一下把我當沙包，一下又要我當她保護站。 而現在成年了，小時候的不懂人權與他們的行為就是控制慾，成年後完全爆發，當我開始尋求有個只常生活，我的生活被我爸媽控制的更嚴重，我被我爸也家暴的更嚴重，但打給家暴中心社會局，往往都難以解決我一再被家暴的情況。,7
2,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Amanda Lin,4个月前,我爸全中。厲害。就是暴力狂。只要女的都打,3
3,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,哼哈星,4个月前,家裡有個會家暴的人真的很難過 我每次回想我都會流淚 我爸沒喝酒脾氣就很暴躁 只要他不想聽的話說了一定被他打 每次喝酒回家都會把我們3個小孩子叫醒一直亂我是老大被亂又會被打 我媽受不了在我國小5年級就跑回外公家沒在回來 之後我爸脾氣更暴躁 我一直活在這種環境直到我國中畢業翹家 當時我一直有個想法 就是等我長大我要殺了我爸 但後來可能因為翹家一段時間 那份衝動已經沒有 如今35歲我一樣沒在跟我爸說話 最後希望社會不要在出現這樣的家庭 那種感受真的很苦,6
4,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,None,2天前（修改过）,"真的欸
前任就是這樣
在外沒本事
回家用暴力",1
5,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Night Showdor Moon,8个月前,停止家暴~原來由製造開始！,2
6,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Keidou Wong,3周前,"这个很对
很好",0
7,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Sebastian Tomas Hsieh,1个月前（修改过）,幸好我爸不會這樣，他是會打我，但很少，從小一就沒打過我了，他通常打我都是那那種竹子，當然他不會打那麽大力，而且被打之後，都會跟我説道理，和爲什麽他打我，做錯了什麽事，打完之後，還問我痛不痛，我爸一個都沒中，相反，他對我媽，對我們都超級無敵好，把最好的東西都留給我們，我很慶幸這輩子遇到那麽好的家庭！,1
8,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Reon Lau,8个月前,0:18大家好 我叫撸蛇,2
9,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,S Ling,8个月前,Lucia情歸客棧，想看 “男孩必看！女性软暴力的5個特征，聰明的男人請盡早識破！「婚姻情感學」”,0
10,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,普通の路人,6个月前,99%的亞洲父母都是這樣,4
11,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Sfzqq,8个月前,我爸全中哦,0
12,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,布丁.,6个月前（修改过）,我垃圾哥全中啦，他死定了,1
13,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,溫珮君,2个月前,我老公家爆男全中,1
14,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,CHERISH LI,1周前,"應該說數據上肢體暴力的受害者多數是女生比較貼切
家庭暴力還包含言語暴力跟關係暴力
還要考量因為社會期待而不敢說的男性",0
15,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,鱼欢快,9个月前,我爸全中！,6
16,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Sherry Wang,4个月前,她说：大家好，我是loser。,0
17,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Sebastian Tomas Hsieh,1个月前,這種男人，要趕快分手，不要也罷，這種人就該進監獄,1
18,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,bert,1年前,���,0
19,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,哼哈星,4个月前,摩羯座是個容易家暴別人的 請各位女人注意 眼睛放亮點,0
20,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Zitron IT,3周前,根本心里变态去青山住。施暴者应该被人狠狠打一餐等下知道骨头裂开的感觉。被打的人受伤痛到半死以后活动没有这灵活了。,0
21,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,魏嬿娉,10个月前,第四種可能是童年時代遭受父母長輩過分嚴厲管教,2
22,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Xiaoyue Hu,5个月前,我认为以上5点 99.99% 的亚洲男性会中,1
23,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,da so,11个月前,女的不會家暴?有些女的根本綁人，灌輸只有女生才是對的思想，女生的暴力才噁心會找男的來打你，女生的言語就像八婆依樣在外誹謗你，噁到不能在噁，別把所有的女生都當聖母好嗎!!!,6
24,https://www.youtube.com/watch?v=KQP4Xp-ZEyU,Ken F.,1年前,一個巴掌拍不響。不該只聽一方的說法。,4
